"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP","Terminal","Hist"
"Abbey","England","0","Female","1980-03-15 00:00:00","Giles","Grace","Abbey School","Abbey GP","False","{}"
"Abbey","England","1","Female","1978-06-12 00:00:00","Clark","Harriet","Abbey School","Abbey GP","False","{}"
"Abbey","England","2","Female","1965-04-01 00:00:00","Nash","Cerys","Abbey School","Abbey GP","False","{}"
"Bagley","England","3","Male","1969-09-01 00:00:00","Kemp","Finley","Bagley School","Bagely GP","False","{}"
"Bagley","England","4","Female","1990-01-06 00:00:00","Farmer","Sofia","Bagley School","Bagely GP","False","{}"
"Bagley","England","5","Female","2002-04-06 00:00:00","Stanley","Madison","Bagley School","Bagely GP","False","{}"
"Battlefield","England","6","Female","1980-10-22 00:00:00","Clements","Shannon","Battlefield School","Battlefield GP","False","{}"
"Battlefield","England","7","Male","1971-09-15 00:00:00","Walton","Charlie","Battlefield School","Battlefield GP","False","{}"
"Battlefield","England","8","Male","2006-09-03 00:00:00","Rowley","Samuel","Battlefield School","Battlefield GP","False","{}"
"Belle Vue","England","9","Female","2016-07-19 00:00:00","Harris","Ava","Belle Vue School","Belle Vue GP","False","{}"
"Belle Vue","England","10","Female","2018-09-10 00:00:00","Carey","Madison","Belle Vue School","Belle Vue GP","False","{}"
"Belle Vue","England","11","Female","1995-04-02 00:00:00","Gardner","Hollie","Belle Vue School","Belle Vue GP","False","{}"
"Bowbrook","England","12","Female","1978-03-25 00:00:00","Doyle","Victoria","Bowbrook School","Bowbrook GP","False","{}"
"Bowbrook","England","13","Female","1970-08-24 00:00:00","Sutton","Chloe","Bowbrook School","Bowbrook GP","False","{}"
"Bowbrook","England","14","Female","1932-05-08 00:00:00","Walsh","Lily","Bowbrook School","Bowbrook GP","False","{}"
"Castlefields and Ditherington","England","15","Male","1994-04-03 00:00:00","Winter","Dylan","Ditherington School","Castlefields GP","False","{}"
"Castlefields and Ditherington","England","16","Female","1996-09-07 00:00:00","May","Francesca","Ditherington School","Castlefields GP","False","{}"
"Castlefields and Ditherington","England","17","Male","1924-10-29 00:00:00","Harper","Benjamin","Castlefields School","Castlefields GP","False","{}"
