"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP","Terminal","Hist","Last","This","HasFirstChild"
"Abbey","England","0","Female","2010-05-02 00:00:00","Vincent","Poppy","Abbey School","Abbey GP","False","{'HasFirstChild': [{'value': 1, 'date': '2010-05-02T00:00:00', 'id': UUID('64d69037-25af-45c5-9ed3-e9bddaca582b')}]}","{'HasFirstChild': {'value': 1, 'date': '2010-05-02T00:00:00', 'id': UUID('64d69037-25af-45c5-9ed3-e9bddaca582b')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '2010-05-02T00:00:00', 'id': UUID('64d69037-25af-45c5-9ed3-e9bddaca582b')}","1"
"Abbey","England","1","Female","1957-01-16 00:00:00","Humphreys","Olivia","Abbey School","Abbey GP","False","{'HasFirstChild': [{'value': 1, 'date': '1957-01-16T00:00:00', 'id': UUID('dd2053ae-5b98-4cdc-8062-97cc08c01faf')}]}","{'HasFirstChild': {'value': 1, 'date': '1957-01-16T00:00:00', 'id': UUID('dd2053ae-5b98-4cdc-8062-97cc08c01faf')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1957-01-16T00:00:00', 'id': UUID('dd2053ae-5b98-4cdc-8062-97cc08c01faf')}","1"
"Abbey","England","2","Male","1953-05-29 00:00:00","May","Nicholas","Abbey School","Abbey GP","False","{'HasFirstChild': [{'value': 1, 'date': '1953-05-29T00:00:00', 'id': UUID('47032ece-5c32-43ae-9338-f11ff53d70a1')}]}","{'HasFirstChild': {'value': 1, 'date': '1953-05-29T00:00:00', 'id': UUID('47032ece-5c32-43ae-9338-f11ff53d70a1')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1953-05-29T00:00:00', 'id': UUID('47032ece-5c32-43ae-9338-f11ff53d70a1')}","1"
"Bagley","England","3","Male","1959-06-15 00:00:00","Goodwin","Liam","Bagley School","Bagely GP","False","{'HasFirstChild': [{'value': 1, 'date': '1959-06-15T00:00:00', 'id': UUID('70d0775e-26fd-451a-99c3-a9e576daefb4')}]}","{'HasFirstChild': {'value': 1, 'date': '1959-06-15T00:00:00', 'id': UUID('70d0775e-26fd-451a-99c3-a9e576daefb4')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1959-06-15T00:00:00', 'id': UUID('70d0775e-26fd-451a-99c3-a9e576daefb4')}","1"
"Bagley","England","4","Male","1995-04-25 00:00:00","Moran","Jacob","Bagley School","Bagely GP","False","{'HasFirstChild': [{'value': 0, 'date': '1995-04-25T00:00:00', 'id': UUID('f3a5afab-d3c1-4337-a686-d0bb0c1beea9')}]}","{'HasFirstChild': {'value': 0, 'date': '1995-04-25T00:00:00', 'id': UUID('f3a5afab-d3c1-4337-a686-d0bb0c1beea9')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1995-04-25T00:00:00', 'id': UUID('f3a5afab-d3c1-4337-a686-d0bb0c1beea9')}","0"
"Bagley","England","5","Male","1977-01-07 00:00:00","Farmer","Kieran","Bagley School","Bagely GP","False","{'HasFirstChild': [{'value': 0, 'date': '1977-01-07T00:00:00', 'id': UUID('5ed3e604-52ed-471c-a61e-c369f2fc7899')}]}","{'HasFirstChild': {'value': 0, 'date': '1977-01-07T00:00:00', 'id': UUID('5ed3e604-52ed-471c-a61e-c369f2fc7899')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1977-01-07T00:00:00', 'id': UUID('5ed3e604-52ed-471c-a61e-c369f2fc7899')}","0"
"Battlefield","England","6","Female","1956-07-08 00:00:00","Rice","Abigail","Battlefield School","Battlefield GP","False","{'HasFirstChild': [{'value': 1, 'date': '1956-07-08T00:00:00', 'id': UUID('aa8e9c45-ddc5-4d7f-a8aa-22bf59b862c2')}]}","{'HasFirstChild': {'value': 1, 'date': '1956-07-08T00:00:00', 'id': UUID('aa8e9c45-ddc5-4d7f-a8aa-22bf59b862c2')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1956-07-08T00:00:00', 'id': UUID('aa8e9c45-ddc5-4d7f-a8aa-22bf59b862c2')}","1"
"Battlefield","England","7","Female","1937-06-01 00:00:00","Hunter","Francesca","Battlefield School","Battlefield GP","False","{'HasFirstChild': [{'value': 0, 'date': '1937-06-01T00:00:00', 'id': UUID('b5a8c94d-f907-43af-8d6a-021570af2e41')}]}","{'HasFirstChild': {'value': 0, 'date': '1937-06-01T00:00:00', 'id': UUID('b5a8c94d-f907-43af-8d6a-021570af2e41')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1937-06-01T00:00:00', 'id': UUID('b5a8c94d-f907-43af-8d6a-021570af2e41')}","0"
"Battlefield","England","8","Male","1974-10-27 00:00:00","Turner","Kai","Battlefield School","Battlefield GP","False","{'HasFirstChild': [{'value': 1, 'date': '1974-10-27T00:00:00', 'id': UUID('3d5f40a0-7897-477f-9942-20b065490d17')}]}","{'HasFirstChild': {'value': 1, 'date': '1974-10-27T00:00:00', 'id': UUID('3d5f40a0-7897-477f-9942-20b065490d17')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1974-10-27T00:00:00', 'id': UUID('3d5f40a0-7897-477f-9942-20b065490d17')}","1"
"Belle Vue","England","9","Male","1988-03-09 00:00:00","Green","Muhammad","Belle Vue School","Belle Vue GP","False","{'HasFirstChild': [{'value': 0, 'date': '1988-03-09T00:00:00', 'id': UUID('0bb8b700-12ce-41c1-8ba8-2beaf442279a')}]}","{'HasFirstChild': {'value': 0, 'date': '1988-03-09T00:00:00', 'id': UUID('0bb8b700-12ce-41c1-8ba8-2beaf442279a')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1988-03-09T00:00:00', 'id': UUID('0bb8b700-12ce-41c1-8ba8-2beaf442279a')}","0"
"Belle Vue","England","10","Male","2012-12-20 00:00:00","Gardiner","Jack","Belle Vue School","Belle Vue GP","False","{'HasFirstChild': [{'value': 1, 'date': '2012-12-20T00:00:00', 'id': UUID('2c79d751-8dfa-4bfd-b87b-bf109b142756')}]}","{'HasFirstChild': {'value': 1, 'date': '2012-12-20T00:00:00', 'id': UUID('2c79d751-8dfa-4bfd-b87b-bf109b142756')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '2012-12-20T00:00:00', 'id': UUID('2c79d751-8dfa-4bfd-b87b-bf109b142756')}","1"
"Belle Vue","England","11","Male","1973-08-30 00:00:00","Cole","Isaac","Belle Vue School","Belle Vue GP","False","{'HasFirstChild': [{'value': 0, 'date': '1973-08-30T00:00:00', 'id': UUID('d0b6074a-22d9-4f0a-9410-fe066906f836')}]}","{'HasFirstChild': {'value': 0, 'date': '1973-08-30T00:00:00', 'id': UUID('d0b6074a-22d9-4f0a-9410-fe066906f836')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1973-08-30T00:00:00', 'id': UUID('d0b6074a-22d9-4f0a-9410-fe066906f836')}","0"
"Bowbrook","England","12","Male","1980-08-19 00:00:00","Flynn","Gabriel","Bowbrook School","Bowbrook GP","False","{'HasFirstChild': [{'value': 0, 'date': '1980-08-19T00:00:00', 'id': UUID('a9d1299b-c73f-4efd-b511-9a0a705a1227')}]}","{'HasFirstChild': {'value': 0, 'date': '1980-08-19T00:00:00', 'id': UUID('a9d1299b-c73f-4efd-b511-9a0a705a1227')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1980-08-19T00:00:00', 'id': UUID('a9d1299b-c73f-4efd-b511-9a0a705a1227')}","0"
"Bowbrook","England","13","Female","1959-04-18 00:00:00","Warner","Jasmine","Bowbrook School","Bowbrook GP","False","{'HasFirstChild': [{'value': 0, 'date': '1959-04-18T00:00:00', 'id': UUID('32e9fc9a-2b1d-4117-9c88-6e2bbcd52434')}]}","{'HasFirstChild': {'value': 0, 'date': '1959-04-18T00:00:00', 'id': UUID('32e9fc9a-2b1d-4117-9c88-6e2bbcd52434')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1959-04-18T00:00:00', 'id': UUID('32e9fc9a-2b1d-4117-9c88-6e2bbcd52434')}","0"
"Bowbrook","England","14","Male","1970-09-17 00:00:00","Tomlinson","Alex","Bowbrook School","Bowbrook GP","False","{'HasFirstChild': [{'value': 1, 'date': '1970-09-17T00:00:00', 'id': UUID('c18ff67c-f317-4a4b-97cd-ce91de719aa6')}]}","{'HasFirstChild': {'value': 1, 'date': '1970-09-17T00:00:00', 'id': UUID('c18ff67c-f317-4a4b-97cd-ce91de719aa6')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1970-09-17T00:00:00', 'id': UUID('c18ff67c-f317-4a4b-97cd-ce91de719aa6')}","1"
"Castlefields and Ditherington","England","15","Female","1942-08-01 00:00:00","Moore","Sophie","Castlefields School","Castlefields GP","False","{'HasFirstChild': [{'value': 1, 'date': '1942-08-01T00:00:00', 'id': UUID('949a1b5f-0b90-4068-8d30-adb89702555a')}]}","{'HasFirstChild': {'value': 1, 'date': '1942-08-01T00:00:00', 'id': UUID('949a1b5f-0b90-4068-8d30-adb89702555a')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1942-08-01T00:00:00', 'id': UUID('949a1b5f-0b90-4068-8d30-adb89702555a')}","1"
"Castlefields and Ditherington","England","16","Male","1992-05-20 00:00:00","Fowler","Harrison","Castlefields School","Castlefields GP","False","{'HasFirstChild': [{'value': 1, 'date': '1992-05-20T00:00:00', 'id': UUID('d02e4cd2-e94e-4445-9f11-b32f8e919737')}]}","{'HasFirstChild': {'value': 1, 'date': '1992-05-20T00:00:00', 'id': UUID('d02e4cd2-e94e-4445-9f11-b32f8e919737')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1992-05-20T00:00:00', 'id': UUID('d02e4cd2-e94e-4445-9f11-b32f8e919737')}","1"
"Castlefields and Ditherington","England","17","Female","1948-01-11 00:00:00","Rees","Keira","Ditherington School","Castlefields GP","False","{'HasFirstChild': [{'value': 1, 'date': '1948-01-11T00:00:00', 'id': UUID('590df44d-94d9-4626-a166-53bd81298de8')}]}","{'HasFirstChild': {'value': 1, 'date': '1948-01-11T00:00:00', 'id': UUID('590df44d-94d9-4626-a166-53bd81298de8')}}","{'name': 'HasFirstChild', 'value': 1, 'date': '1948-01-11T00:00:00', 'id': UUID('590df44d-94d9-4626-a166-53bd81298de8')}","1"
"Column","England","18","Female","1990-04-18 00:00:00","Lewis","Laura","Column School","Column GP","False","{'HasFirstChild': [{'value': 0, 'date': '1990-04-18T00:00:00', 'id': UUID('eecc16de-2cf5-4870-8558-1c404c223fec')}]}","{'HasFirstChild': {'value': 0, 'date': '1990-04-18T00:00:00', 'id': UUID('eecc16de-2cf5-4870-8558-1c404c223fec')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1990-04-18T00:00:00', 'id': UUID('eecc16de-2cf5-4870-8558-1c404c223fec')}","0"
"Column","England","19","Female","1995-07-15 00:00:00","Wilkinson","Summer","Column School","Column GP","False","{'HasFirstChild': [{'value': 0, 'date': '1995-07-15T00:00:00', 'id': UUID('8ae34f11-1b5b-492a-8aa1-2dc23970ef79')}]}","{'HasFirstChild': {'value': 0, 'date': '1995-07-15T00:00:00', 'id': UUID('8ae34f11-1b5b-492a-8aa1-2dc23970ef79')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1995-07-15T00:00:00', 'id': UUID('8ae34f11-1b5b-492a-8aa1-2dc23970ef79')}","0"
"Column","England","20","Male","1967-10-14 00:00:00","Carr","Ben","Column School","Column GP","False","{'HasFirstChild': [{'value': 0, 'date': '1967-10-14T00:00:00', 'id': UUID('dd6798c7-929d-43c0-9663-f658a478e82a')}]}","{'HasFirstChild': {'value': 0, 'date': '1967-10-14T00:00:00', 'id': UUID('dd6798c7-929d-43c0-9663-f658a478e82a')}}","{'name': 'HasFirstChild', 'value': 0, 'date': '1967-10-14T00:00:00', 'id': UUID('dd6798c7-929d-43c0-9663-f658a478e82a')}","0"
